GRB090926A
Pass 8
RA: 353.56, Dec: -66.37, Error: 0.06 degrees
MET Trigger Time: 275631628.990, Redshift: 2.11
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     293.778 |  247.65643281 |             2.262 |         PHOTON |
|    1897.769 |  255.82041794 |             0.221 |         PHOTON |
|    4711.061 |  271.94254494 |             0.257 |         PHOTON |
|     853.967 |  285.56270283 |             0.841 |         PHOTON |
|     843.418 |  296.94262350 |             0.540 |         PHOTON |
|     193.639 |  300.60515529 |             2.905 |          EVENT |
|     477.246 |  311.52859342 |             1.770 |         PHOTON |
|    1690.684 |  313.91217077 |             0.473 |         PHOTON |
|     358.920 |  345.48628396 |             0.260 |          EVENT |
|     108.726 |  372.03518355 |             2.557 |          EVENT |
|     105.786 |  406.30300474 |             1.278 |          EVENT |
|      81.917 |  429.30157661 |             2.663 |         PHOTON |
|     174.055 |  488.67454475 |             1.836 |          EVENT |
|      53.646 |  491.04228663 |             2.726 |          EVENT |
|     156.919 |  504.96090746 |             2.195 |         PHOTON |
|    1141.155 |  514.26384670 |             0.359 |         PHOTON |
|     267.312 |  523.77283388 |             2.654 |         PHOTON |
|      41.784 |  543.76493579 |             1.519 |          EVENT |
|      99.942 |  618.75629115 |             1.258 |          EVENT |
|     101.613 |  656.94841671 |             2.174 |          EVENT |
|    1614.835 |  678.33897048 |             2.732 |         PHOTON |
|     149.854 |  680.21110195 |             1.538 |          EVENT |
|     326.615 |  696.30413902 |             1.653 |         PHOTON |
|     102.253 |  700.61962491 |             1.380 |          EVENT |
|     210.605 |  707.09054977 |             2.270 |          EVENT |
|     124.525 |  710.77158594 |             2.524 |          EVENT |
|     138.964 |  718.29633898 |             2.271 |          EVENT |
|     371.663 |  721.03203529 |             1.960 |         PHOTON |
|     434.605 |  740.10770649 |             1.546 |         PHOTON |
|     125.281 |  746.87223202 |             1.605 |         PHOTON |
|     407.103 |  756.21766651 |             2.524 |         PHOTON |
|     201.746 |  761.30455399 |             1.163 |          EVENT |
|     315.019 |  804.75651222 |             2.271 |         PHOTON |
|     294.249 |  813.49977201 |             0.688 |          EVENT |
|     170.838 |  819.89357424 |             2.711 |         PHOTON |
|      96.707 |  840.91422653 |             1.559 |          EVENT |
|     213.832 |  862.69934237 |             2.418 |         PHOTON |
|     250.180 |  868.84704983 |             1.243 |          EVENT |
|     290.995 |  877.26635969 |             1.840 |          EVENT |
|     575.612 |  896.43353027 |             2.463 |          EVENT |
|      73.792 |  925.71487892 |             1.846 |          EVENT |
|     159.835 |  965.91951710 |             2.730 |         PHOTON |
|     595.332 |  998.33366758 |             2.335 |         PHOTON |
