GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     420.041 |   58.96444517 |             0.226 |         PHOTON |
|      51.162 |   61.73845199 |             2.415 |         PHOTON |
|     226.019 |   64.66828030 |             1.039 |         PHOTON |
|     989.428 |   65.52123162 |             0.823 |         PHOTON |
|     198.299 |   65.53664428 |             1.302 |         PHOTON |
|      57.747 |   65.88348839 |             1.991 |          EVENT |
|     164.349 |   65.92443758 |             2.107 |          EVENT |
|     189.135 |   66.41191527 |             0.591 |         PHOTON |
|     253.002 |   66.48897550 |             0.284 |         PHOTON |
|     124.021 |   66.61727726 |             2.952 |         PHOTON |
|     443.472 |   68.82210749 |             2.179 |         PHOTON |
|     164.673 |   69.73900294 |             0.312 |         PHOTON |
|     143.279 |   70.38820621 |             1.948 |         PHOTON |
|     867.561 |   70.61660030 |             0.155 |         PHOTON |
|     466.222 |   71.38872480 |             2.282 |         PHOTON |
|     379.301 |   71.89034313 |             1.114 |         PHOTON |
|     357.906 |   73.58005455 |             1.001 |         PHOTON |
|      43.595 |   80.69659323 |             2.828 |          EVENT |
|     155.713 |   81.81860518 |             2.173 |          EVENT |
|     159.058 |   82.64412713 |             2.345 |          EVENT |
|      41.218 |   83.56586248 |             2.230 |         PHOTON |
|      43.714 |   84.06744161 |             2.043 |         PHOTON |
|     141.539 |   84.24918306 |             1.456 |          EVENT |
|     565.400 |   92.38870156 |             0.423 |         PHOTON |
|     344.258 |   93.30780888 |             0.442 |         PHOTON |
|     284.197 |   94.77338621 |             1.731 |         PHOTON |
|     483.482 |   96.02482197 |             0.631 |         PHOTON |
|     706.964 |   96.30246633 |             0.505 |         PHOTON |
|     751.930 |   97.51803991 |             0.808 |         PHOTON |
|     196.184 |   99.11864570 |             1.898 |          EVENT |
|     792.024 |  101.10864723 |             0.941 |         PHOTON |
|     141.927 |  106.12468410 |             1.297 |          EVENT |
|     151.069 |  110.73679495 |             0.846 |         PHOTON |
|     607.234 |  113.21730423 |             1.061 |          EVENT |
|     598.762 |  116.64181656 |             0.969 |         PHOTON |
|     137.505 |  116.93192261 |             0.536 |          EVENT |
|     875.829 |  124.15804645 |             0.378 |         PHOTON |
|     846.429 |  125.69190696 |             0.241 |         PHOTON |
|     162.653 |  127.97545350 |             1.776 |          EVENT |
|     106.600 |  129.74730903 |             1.493 |         PHOTON |
|    1212.478 |  133.85947859 |             0.365 |         PHOTON |
|     140.331 |  138.93854392 |             2.402 |          EVENT |
|     180.846 |  139.29878518 |             1.687 |          EVENT |
|     858.504 |  140.67355862 |             0.164 |         PHOTON |
|     224.081 |  140.87530056 |             0.917 |          EVENT |
|      50.283 |  148.74269569 |             0.840 |          EVENT |
|     218.003 |  148.82921806 |             2.472 |         PHOTON |
|     157.279 |  150.79929265 |             2.089 |         PHOTON |
|     211.675 |  152.01193437 |             0.752 |         PHOTON |
|    1336.787 |  153.90290061 |             0.337 |         PHOTON |
|     680.999 |  157.43445539 |             0.467 |         PHOTON |
|     990.699 |  164.74645388 |             0.874 |         PHOTON |
|     624.428 |  165.33739471 |             0.395 |         PHOTON |
|     491.472 |  165.74273774 |             2.111 |         PHOTON |
|     244.697 |  166.46524614 |             1.043 |         PHOTON |
|      51.886 |  173.75970632 |             1.383 |          EVENT |
|      75.828 |  174.69010219 |             1.751 |         PHOTON |
|     206.979 |  179.24852100 |             1.888 |         PHOTON |
|     708.650 |  183.27791622 |             1.055 |          EVENT |
|     390.382 |  187.27388352 |             1.237 |          EVENT |
|     591.772 |  193.88653910 |             0.907 |         PHOTON |
|      90.389 |  196.38364536 |             1.912 |          EVENT |
|     945.354 |  197.11974236 |             0.650 |         PHOTON |
|     186.141 |  213.86059675 |             1.103 |          EVENT |
|     149.023 |  217.61728200 |             2.281 |         PHOTON |
|      77.701 |  241.58564663 |             1.297 |         PHOTON |
|     168.854 |  242.71075308 |             1.404 |         PHOTON |
